Author|Title|Publishing Date|author_wikidata_id|date_birth|date_death|author_description|origin|birth_place|gender|author_image|occupation
Thomas Wentworth Higginson|Margaret Fuller Ossoli|1890|http://www.wikidata.org/entity/Q707838|22/12/1823|9/5/1911|Union United States Army officer|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
Thomas Wentworth Higginson|Massachusetts in the Army and Navy during the war of 1861-1865, vol. 1: prelminary narrative|1895|http://www.wikidata.org/entity/Q707838|22/12/1823|9/5/1911|Union United States Army officer|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
Thomas Wentworth Higginson|Massachusetts in the Army and Navy during the war of 1861-1865, vol. 2|1895|http://www.wikidata.org/entity/Q707838|22/12/1823|9/5/1911|Union United States Army officer|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
Thomas Wentworth Higginson|The new world and the new book|1892|http://www.wikidata.org/entity/Q707838|22/12/1823|9/5/1911|Union United States Army officer|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
Thomas Wentworth Higginson|Olde Cambridge|1900|http://www.wikidata.org/entity/Q707838|22/12/1823|9/5/1911|Union United States Army officer|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
Thomas Wentworth Higginson|Oldport days, with ten heliotype illustrations from views taken in Newport, R. I., expressly for this work.|1873|http://www.wikidata.org/entity/Q707838|22/12/1823|9/5/1911|Union United States Army officer|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
Thomas Wentworth Higginson; Henry Walcott Boynton|Reader's History of American Literature|1903|http://www.wikidata.org/entity/Q707838|22/12/1823|9/5/1911|Union United States Army officer|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
Thomas Wentworth Higginson|Short studies of American authors|1880|http://www.wikidata.org/entity/Q707838|22/12/1823|9/5/1911|Union United States Army officer|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
Thomas Wentworth Higginson|Women and Men|1888|http://www.wikidata.org/entity/Q707838|22/12/1823|9/5/1911|Union United States Army officer|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
Daniel Harvey Hill Jr.|Confederate Military History, a library of Confederate States Military History: Volume 4, North Carolina|1899|-|-|-|-|-|-|-|-|-
George S. Hillard|Life and Campaigns of George B. McClellan, Major-General , U. S. Army|1864|-|-|-|-|-|-|-|-|-
Somerville Historical Society|Historic leaves, volume 1, April, 1902 - January, 1903|1903|-|-|-|-|-|-|-|-|-
Somerville Historical Society|Historic leaves, volume 2, April, 1903 - January, 1904|1904|-|-|-|-|-|-|-|-|-
Somerville Historical Society|Historic leaves, volume 3, April, 1904 - January, 1905|1905|-|-|-|-|-|-|-|-|-
Somerville Historical Society|Historic leaves, volume 4, April, 1905 - January, 1906|1906|-|-|-|-|-|-|-|-|-
Somerville Historical Society|Historic leaves, volume 5, April, 1906 - January, 1907|1907|-|-|-|-|-|-|-|-|-
Somerville Historical Society|Historic leaves, volume 6, April, 1907 - January, 1908|1908|-|-|-|-|-|-|-|-|-
Somerville Historical Society|Historic leaves, volume 7, April, 1908 - January, 1909|1909|-|-|-|-|-|-|-|-|-
Somerville Historical Society|Historic leaves, volume 8, April, 1909 - January, 1910|1910|-|-|-|-|-|-|-|-|-
Medford Historical Society|History of the First Universalist Church in Somerville, Mass. Illustrated; a souvenir of the fiftieth anniversary celebrated February 15-21, 1904|1905|-|-|-|-|-|-|-|-|-
Charles Brooks|HISTORY OF THE TOWN OF MEDFORD, Middlesex County, Massachusetts, FROM ITS FIRST SETTLEMENT, IN 1630, TO THE PRESENT TIME, 1855.|1855|http://www.wikidata.org/entity/Q1063813|24/2/1844|7/12/1899|American politician|United States of America|-|male|-|politician
John Bell Hood|Advance and Retreat: Personal Experiences in the United States and Confederate Armies|1880|http://www.wikidata.org/entity/Q553533|1/6/1831|30/8/1879|Confederate general during the American Civil War|United States of America|-|male|https://commons.wikimedia.org/wiki/File:John%20Bell%20Hood.jpg|military personnel
Charles E. Hooker|Confederate Military History, a library of Confederate States Military History: Volume 12.2, Mississippi|1899|http://www.wikidata.org/entity/Q1064208|9/4/1825|8/1/1914|American politician|United States of America|-|male|https://commons.wikimedia.org/wiki/File:CharlesEHooker.jpg|lawyer, politican
Maj. Jed. Hotchkiss|Confederate Military History, a library of Confederate States Military History: Volume 3, Virginia|1899|-|-|-|-|-|-|-|-|-
Oliver Otis Howard|Autobiography of Oliver Otis Howard, major general , United States army : volume 1|1908|http://www.wikidata.org/entity/Q736934|8/11/1830|26/10/1909|United States Army Medal of Honor recipient and Union Army general|United States of America|Leeds|male|http://commons.wikimedia.org/wiki/Special:FilePath/Oliver%20Otis%20Howard.jpg|historian, military officer, biographer
Oliver Otis Howard|Autobiography of Oliver Otis Howard, major general , United States army : volume 2|1908|http://www.wikidata.org/entity/Q736934|8/11/1830|26/10/1909|United States Army Medal of Honor recipient and Union Army general|United States of America|Leeds|male|http://commons.wikimedia.org/wiki/Special:FilePath/Oliver%20Otis%20Howard.jpg|historian, military officer, biographer
Jula Ward Howe|Reminiscences: 1819-1899|1899|-|-|-|-|-|-|-|-|-
John F. Hume|The abolitionists together with personal memories of the struggle for human rights|1905|http://www.wikidata.org/entity/Q18911556|7/9/1830|10/7/1909|U.S. banker, broker, politician and newspaper editor|United States of America|Bovina|male|-|politician, writer, banker, editor, stockbroker
Brig.-Gen. Bradley T. Johnson|Confederate Military History, a library of Confederate States Military History: Volume 2.1, Maryland|1899|-|-|-|-|-|-|-|-|-
Robert Underwood Johnson; Clarence Clough Buell|Battles and Leaders of the Civil War. Volume 3.|1887|http://www.wikidata.org/entity/Q2717721|12/1/1853|14/10/1937|American journalist|United States of America|Washington, D.C.|male|http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Underwood%20Johnson%200001.jpg|historian, poet, journalist
Robert Underwood Johnson; Clarence Clough Buell|Battles and Leaders of the Civil War. Volume 4.|1887|http://www.wikidata.org/entity/Q2717721|12/1/1853|14/10/1937|American journalist|United States of America|Washington, D.C.|male|http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Underwood%20Johnson%200001.jpg|historian, poet, journalist
Robert Underwood Johnson; Clarence Clough Buell|Battles and Leaders of the Civil War: The Opening Battles. Volume 1.|1887|http://www.wikidata.org/entity/Q2717721|12/1/1853|14/10/1937|American journalist|United States of America|Washington, D.C.|male|http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Underwood%20Johnson%200001.jpg|historian, poet, journalist
Robert Underwood Johnson; Clarence Clough Buell|Battles and Leaders of the Civil War: Volume 2.|1887|http://www.wikidata.org/entity/Q2717721|12/1/1853|14/10/1937|American journalist|United States of America|Washington, D.C.|male|http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Underwood%20Johnson%200001.jpg|historian, poet, journalist
Josiah S. Johnston|Confederate Military History, a library of Confederate States Military History: Volume 9.1, Kentucky|1899|http://www.wikidata.org/entity/Q1708664|-|-|-|-|-|-|-|lawyer, politician, judge
William Preston Johnston|The Life of General Albert Sidney Johnston : His Service in the Armies of the United States, the Republic of Texas, and the Confederate States.|1879|http://www.wikidata.org/entity/Q8017071|5/1/1831|16/7/1899|Confederate Army soldier|United States of America|-|male|-|poet
Joseph E. Johnston|Narrative of Military Operations During the Civil War|1874|http://www.wikidata.org/entity/Q439669|3/2/1807|21/3/1891|Confederate Army general|United States of America|Farmville|male|http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin%20Franklin%20Reinhart%20-%20Joseph%20Eggleston%20Johnston%20-%20Google%20Art%20Project.jpg|politician, military personnel
Baron de Jomini|Summary of the Art of War, or a New Analytical Compend of the Principle Combinations of Strategy, of Grand Tactics and of Military Policy.|1854|-|-|-|-|-|-|-|-|-
John Beauchamp Jones|A Rebel War Clerk's Diary|1866|http://www.wikidata.org/entity/Q6221275|6/3/1810|4/2/1866|American writer|United States of America|Baltimore|male|-|publisher, novelist, journalist, diarist, editor
J. William Jones|Christ in the camp, or religion in Lee's army|1887|http://www.wikidata.org/entity/Q18331069|25/9/1836|17/3/1909|American preacher|United States of America|Louisa County|male|http://commons.wikimedia.org/wiki/Special:FilePath/John%20William%20Jones%20DD.jpg|military chaplain, author
Knight|Knight's Mechanical Encyclopedia|1877|http://www.wikidata.org/entity/Q18671942|-|-|-|-|-|-|-|painter, land surveyor
Fitzhugh Lee|General Lee|1894|http://www.wikidata.org/entity/Q708656|19/11/1835|28/4/1905|Confederate Army general|United States of America|Fairfax County|male|http://commons.wikimedia.org/wiki/Special:FilePath/Fitzhugh%20Lee%20Governor.jpg|politician
C. Edwards Lester|Life and public services of Charles Sumner: Born Jan. 6, 1811. Died March 11, 1874.|1874|http://www.wikidata.org/entity/Q5077321|1/1/1815|1/1/1890|American historian|United States of America|-|male|http://commons.wikimedia.org/wiki/Special:FilePath/C%20Edwards%20Lester.jpg|historian, lawyer, biographer
Abraham Lincoln; Stephen A. Douglas|Debates of Lincoln and Douglas: Carefully Prepared by the Reporters of Each Party at the times of their Delivery.|1860|http://www.wikidata.org/entity/Q91|12/2/1809|15/4/1865|16th President of the United States|United States of America|LaRue County|male|https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Abraham_Lincoln_O-77_matte_collodion_print.jpg/144px-Abraham_Lincoln_O-77_matte_collodion_print.jpg|politician, postmaster, lawyer, statesperson, agriculturer, military personnel
William Alexander Linn|Horace Greeley Founder and Editor of The New York Tribune|1903|http://www.wikidata.org/entity/Q8004275|4/9/1846|23/2/1917|American journalist|United States of America|-|male|-|historian, journalist
John A. Logan|Reminiscences of a Soldier's Wife: An Autobiography|1913|http://www.wikidata.org/entity/Q954410|9/2/1826|26/12/1886|American soldier and political leader|United States of America|Murphysboro|male|http://commons.wikimedia.org/wiki/Special:FilePath/John%20Alexander%20Logan.jpg|lawyer, politician, military officer
James Longstreet|From Manassas to Appomattox|1895|http://www.wikidata.org/entity/Q311514|8/1/1821|2/1/1904|Confederate Army general|Indonesia|South Carolina|male|http://commons.wikimedia.org/wiki/Special:FilePath/James%20Longstreet.jpg|military leader, diplomat, military leader, diplomat
Benson J. Lossing|Pictorial Field Book of the Civil War. Volume 1.|1876|-|-|-|-|-|-|-|-|-
Benson J. Lossing|Pictorial Field Book of the Civil War. Volume 2.|1870|-|-|-|-|-|-|-|-|-
Benson J. Lossing|Pictorial Field Book of the Civil War. Volume 3.|1874|-|-|-|-|-|-|-|-|-
James Russell Lowell|Among my books|1876|http://www.wikidata.org/entity/Q449670|22/2/1819|12/8/1891|American poet, critic, editor, and diplomat|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/James%20Russell%20Lowell%20-%201855.jpg|literary critic, writer, poet, journalist, essayist, diplomat
Theodore Lyman|With Grant and Meade from the Wilderness to Appomattox|1922|http://www.wikidata.org/entity/Q2418660|23/8/1833|9/9/1897|Natural scientist, military staff officer during the American Civil War, and United States Representative from Massachusetts|United States of America|-|male|https://commons.wikimedia.org/wiki/File:Theodore%20Lyman%20III.png|politician, zoologist
Judith White McGuire|Diary of a southern refugee during the war, by a lady of Virginia|1867|-|-|-|-|-|-|-|-|-
George Meade|The Life and Letters of George Gordon Meade, Major-General United States Army|1913|http://www.wikidata.org/entity/Q297121|31/12/1815|6/11/1872|Union Army general|Spain|CÃ¡diz|male|http://commons.wikimedia.org/wiki/Special:FilePath/Meade1Colorized.jpg|engineer, military personnel
Medford Historical Society|Medford Historical Society Papers, Volume 1.|1898|-|-|-|-|-|-|-|-|-
Medford Historical Society|Medford Historical Society Papers, Volume 10.|1907|-|-|-|-|-|-|-|-|-
Medford Historical Society|Medford Historical Society Papers, Volume 11.|1908|-|-|-|-|-|-|-|-|-
Medford Historical Society|Medford Historical Society Papers, Volume 12.|1909|-|-|-|-|-|-|-|-|-
Medford Historical Society|Medford Historical Society Papers, Volume 13.|1910|-|-|-|-|-|-|-|-|-
Medford Historical Society|Medford Historical Society Papers, Volume 14.|1911|-|-|-|-|-|-|-|-|-
Medford Historical Society|Medford Historical Society Papers, Volume 15.|1912|-|-|-|-|-|-|-|-|-
Medford Historical Society|Medford Historical Society Papers, Volume 15._PART_2|1912|-|-|-|-|-|-|-|-|-
Medford Historical Society|Medford Historical Society Papers, Volume 16.|1913|-|-|-|-|-|-|-|-|-
Medford Historical Society|Medford Historical Society Papers, Volume 17.|1914|-|-|-|-|-|-|-|-|-
Medford Historical Society|Medford Historical Society Papers, Volume 18.|1915|-|-|-|-|-|-|-|-|-
Medford Historical Society|Medford Historical Society Papers, Volume 2.|1899|-|-|-|-|-|-|-|-|-
Medford Historical Society|Medford Historical Society Papers, Volume 20.|1917|-|-|-|-|-|-|-|-|-
Medford Historical Society|Medford Historical Society Papers, Volume 22.|1919|-|-|-|-|-|-|-|-|-
Medford Historical Society|Medford Historical Society Papers, Volume 22._PART_2|1919|-|-|-|-|-|-|-|-|-
Medford Historical Society|Medford Historical Society Papers, Volume 23.|1920|-|-|-|-|-|-|-|-|-
Medford Historical Society|Medford Historical Society Papers, Volume 24.|1921|-|-|-|-|-|-|-|-|-
Medford Historical Society|Medford Historical Society Papers, Volume 25.|1922|-|-|-|-|-|-|-|-|-
Medford Historical Society|Medford Historical Society Papers, Volume 25._PART_2|1922|-|-|-|-|-|-|-|-|-
Medford Historical Society|Medford Historical Society Papers, Volume 26.|1923|-|-|-|-|-|-|-|-|-
Medford Historical Society|Medford Historical Society Papers, Volume 28.|1925|-|-|-|-|-|-|-|-|-
Medford Historical Society|Medford Historical Society Papers, Volume 29.|1926|-|-|-|-|-|-|-|-|-
Medford Historical Society|Medford Historical Society Papers, Volume 3.|1900|-|-|-|-|-|-|-|-|-
Medford Historical Society|Medford Historical Society Papers, Volume 30.|1927|-|-|-|-|-|-|-|-|-
Medford Historical Society|Medford Historical Society Papers, Volume 4.|1901|-|-|-|-|-|-|-|-|-
Medford Historical Society|Medford Historical Society Papers, Volume 5.|1902|-|-|-|-|-|-|-|-|-
Medford Historical Society|Medford Historical Society Papers, Volume 6.|1903|-|-|-|-|-|-|-|-|-
Medford Historical Society|Medford Historical Society Papers, Volume 7.|1904|-|-|-|-|-|-|-|-|-
Medford Historical Society|Medford Historical Society Papers, Volume 8.|1905|-|-|-|-|-|-|-|-|-
Medford Historical Society|Medford Historical Society Papers, Volume 9.|1906|-|-|-|-|-|-|-|-|-
John C. Moore|Confederate Military History, a library of Confederate States Military History: Volume 9.2, Missouri|1899|http://www.wikidata.org/entity/Q16227703|18/8/1832|27/10/1915|American mayor|United States of America|Pulaski|male|http://commons.wikimedia.org/wiki/Special:FilePath/John%20C.%20Moore%20-%201860.jpg|politician
Elias Nason|The Life and Times of Charles Sumner: His Boyhood, Education and Public Career.|1874|http://www.wikidata.org/entity/Q5360567|21/4/1811|17/6/1887|American writer|-|-|male|-|writer
Elias Nason|McClellan's Own Story: the war for the union, the soldiers who fought it, the civilians who directed it, and his relations to them.|1887|http://www.wikidata.org/entity/Q5360567|21/4/1811|17/6/1887|American writer|-|-|male|-|writer
Charles Nelson|Waltham, past, present and its industries, with an historical sketch of Watertown from its settlement in 1630 to the incorporation of Waltham, January 15, 1739.|1879|http://www.wikidata.org/entity/Q5081220|4/7/1835|13/12/1891|American businessman|-|-|male|-|-
John G. Nicolay|The Outbreak of Rebellion|1881|-|-|-|-|-|-|-|-|-
John G. Nicolay|A Short Life of Abraham Lincoln, condensed from Nicolay and Hayes' Abraham Lincoln: A History|1902|-|-|-|-|-|-|-|-|-
Sergeant Oats|Prison Life in Dixie: giving a short history of the inhuman and barbarous treatment of our soldiers by rebel authorities|1880|-|-|-|-|-|-|-|-|-
Robert N. Scott|Official Records of the Union and Confederate Armies, Chapter XXII: Operations in Kentucky, Tennessee, North Mississippi, North Alabama, and Southwest Virginia. March 4-June 10, 1862.|1884|-|-|-|-|-|-|-|-|-
Robert N. Scott|Official Records of the Union and Confederate Armies, Chapter XXII: Operations in Kentucky, Tennessee, North Mississippi, North Alabama, and Southwest Virginia. March 4-June 10, 1862., Part II: Correspondence, Orders, and Returns.|1884|-|-|-|-|-|-|-|-|-
Lucius R. Paige|History of Cambridge, Massachusetts, 1630-1877, with a genealogical register|1877|-|-|-|-|-|-|-|-|-
Comte de Paris|History of the Civil War in America. Vol. 1.|1876|-|-|-|-|-|-|-|-|-
Comte de Paris|History of the Civil War in America. Vol. 2.|1876|-|-|-|-|-|-|-|-|-
Comte de Paris|History of the Civil War in America. Vol. 3.|1883|-|-|-|-|-|-|-|-|-
Comte de Paris|History of the Civil War in America. Vol. 4.|1888|-|-|-|-|-|-|-|-|-
James Parton|The life of Horace Greeley|1855|http://www.wikidata.org/entity/Q1680949|9/2/1822|17/10/1891|American biographer|United States of America|Canterbury|male|http://commons.wikimedia.org/wiki/Special:FilePath/James%20Parton%20-%20Schriftsteller.jpg|writer, author, biographer
James Parton; Horace Greeley; T. W. Higginson; J. S. C. Abbott; E. M. Hoppin; William Winter; Theodore Tilton; Fanny Fern; Grace Greenwood; Mrs. E. C. Stanton|Women of the age; being natives of the lives and deeds of the most prominent women of the present gentlemen|1871|http://www.wikidata.org/entity/Q1680949|9/2/1822|17/10/1891|American biographer|United States of America|Canterbury|male|http://commons.wikimedia.org/wiki/Special:FilePath/James%20Parton%20-%20Schriftsteller.jpg|writer, author, biographer
Bliss Perry|The American spirit in lierature: a chronicle of great interpreters|1921|http://www.wikidata.org/entity/Q4926866|1/1/1860|1/1/1954|American academic|United States of America|-|male|http://commons.wikimedia.org/wiki/Special:FilePath/Bliss%20Perry.jpg|writer
Wendell Phillips; Theodore C. Pease|Speeches, Lectures and Letters of Wendell Phillips: Volume 1|1891|http://www.wikidata.org/entity/Q530310|29/11/1811|2/2/1884|American abolitionist, advocate for Native Americans, orator and lawyer|United States of America|Boston|male|http://commons.wikimedia.org/wiki/Special:FilePath/Wendell%20Phillips%20by%20Brady.jpg|lawyer, politician, jurist
Wendell Phillips; Theodore C. Pease|Speeches, Lectures and Letters of Wendell Phillips: Volume 2|1891|http://www.wikidata.org/entity/Q530310|29/11/1811|2/2/1884|American abolitionist, advocate for Native Americans, orator and lawyer|United States of America|Boston|male|http://commons.wikimedia.org/wiki/Special:FilePath/Wendell%20Phillips%20by%20Brady.jpg|lawyer, politician, jurist
Francis Trevelyan Miller|The Photographic History of The Civil War: in ten volumes, Thousands of Scenes Photographed 1861-65, with Text by many Special Authorities, Volume 10: The Armies and the Leaders.|1912|http://www.wikidata.org/entity/Q5482619|1/1/1877|1/1/1959|American film director|United States of America|-|male|-|film director, writer
Francis Trevelyan Miller|The Photographic History of The Civil War: in ten volumes, Thousands of Scenes Photographed 1861-65, with Text by many Special Authorities, Volume 1: The Opening Battles.|1912|http://www.wikidata.org/entity/Q5482619|1/1/1877|1/1/1959|American film director|United States of America|-|male|-|film director, writer
Francis Trevelyan Miller|The Photographic History of The Civil War: in ten volumes, Thousands of Scenes Photographed 1861-65, with Text by many Special Authorities, Volume 2: Two Years of Grim War.|1912|http://www.wikidata.org/entity/Q5482619|1/1/1877|1/1/1959|American film director|United States of America|-|male|-|film director, writer
Francis Trevelyan Miller|The Photographic History of The Civil War: in ten volumes, Thousands of Scenes Photographed 1861-65, with Text by many Special Authorities, Volume 3: The Decisive Battles.|1912|http://www.wikidata.org/entity/Q5482619|1/1/1877|1/1/1959|American film director|United States of America|-|male|-|film director, writer
Francis Trevelyan Miller|The Photographic History of The Civil War: in ten volumes, Thousands of Scenes Photographed 1861-65, with Text by many Special Authorities, Volume 4: The Cavalry|1912|http://www.wikidata.org/entity/Q5482619|1/1/1877|1/1/1959|American film director|United States of America|-|male|-|film director, writer
Francis Trevelyan Miller|The Photographic History of The Civil War: in ten volumes, Thousands of Scenes Photographed 1861-65, with Text by many Special Authorities, Volume 5: Forts and Artillery.|1912|http://www.wikidata.org/entity/Q5482619|1/1/1877|1/1/1959|American film director|United States of America|-|male|-|film director, writer
Francis Trevelyan Miller|The Photographic History of The Civil War: in ten volumes, Thousands of Scenes Photographed 1861-65, with Text by many Special Authorities, Volume 7: Prisons and Hospitals.|1912|http://www.wikidata.org/entity/Q5482619|1/1/1877|1/1/1959|American film director|United States of America|-|male|-|film director, writer
Francis Trevelyan Miller|The Photographic History of The Civil War: in ten volumes, Thousands of Scenes Photographed 1861-65, with Text by many Special Authorities, Volume 8: Soldier Life and Secret Service.|1912|http://www.wikidata.org/entity/Q5482619|1/1/1877|1/1/1959|American film director|United States of America|-|male|-|film director, writer
Francis Trevelyan Miller|The Photographic History of The Civil War: in ten volumes, Thousands of Scenes Photographed 1861-65, with Text by many Special Authorities, Volume 9: Poetry and Eloquence.|1912|http://www.wikidata.org/entity/Q5482619|1/1/1877|1/1/1959|American film director|United States of America|-|male|-|film director, writer
-|The picturesque pocket companion, and visitor's guide, through Mount Auburn|1839|-|-|-|-|-|-|-|-|-
Edward L. Pierce|Memoir and letters of Charles Sumner: volume 1|1877|http://www.wikidata.org/entity/Q5344023|29/3/1829|6/9/1897|American politician|United States of America|-|male|-|politician, writer, biographer
Edward L. Pierce|Memoir and letters of Charles Sumner: volume 2|1877|http://www.wikidata.org/entity/Q5344023|29/3/1829|6/9/1897|American politician|United States of America|-|male|-|politician, writer, biographer
Edward L. Pierce|Memoir and letters of Charles Sumner: volume 3|1877|http://www.wikidata.org/entity/Q5344023|29/3/1829|6/9/1897|American politician|United States of America|-|male|-|politician, writer, biographer
Edward L. Pierce|Memoir and letters of Charles Sumner: volume 4|1877|http://www.wikidata.org/entity/Q5344023|29/3/1829|6/9/1897|American politician|United States of America|-|male|-|politician, writer, biographer
Allan Pinkerton|The spy in the rebellion; being a true history of the spy system of the United States Army during the late rebellion, revealing many secrets of the war hitherto not made public, compiled from official reports prepared for President Lincoln , General McClellan and the Provost-Marshal-General .|1883|http://www.wikidata.org/entity/Q365650|28/8/1819|1/7/1884|American Civil War spy|United States of America|Glasgow|male|http://commons.wikimedia.org/wiki/Special:FilePath/Allan%20Pinkerton-retouch.jpg|intelligence officer, army scout, detective, businessperson, intelligence officer, army scout, detective, businessperson
Edward Alfred Pollard|The lost cause; a new Southern history of the War of the Confederates ... Drawn from official sources and approved by the most distinguished Confederate leaders.|1866|http://www.wikidata.org/entity/Q55414152|-|-|-|-|-|male|-|-
Admiral David D. Porter|The Naval History of the Civil War.|1886|http://www.wikidata.org/entity/Q19030706|-|-|-|-|-|male|http://commons.wikimedia.org/wiki/Special:FilePath/David%20D.%20Porter.jpg|-
Horace Porter|Campaigning with Grant|1897|http://www.wikidata.org/entity/Q3140470|15/4/1837|29/5/1921|United States Army Medal of Honor recipient and Union Army general|United States of America|Huntingdon|male|-|military officer, diplomat
James D. Porter|Confederate Military History, a library of Confederate States Military History: Volume 7.1, Tennessee|1899|http://www.wikidata.org/entity/Q248649|7/12/1828|18/5/1912|American diplomat|United States of America|Paris|male|http://commons.wikimedia.org/wiki/Special:FilePath/Porter-james-by-wb-cooper.jpg|lawyer, judge, diplomat
Frank Moore|Rebellion Record: a Diary of American Events, Diary from December 17, 1860 - April 30, 1864|1868|http://www.wikidata.org/entity/Q5488508|12/9/1877|20/5/1964|American politician|United States of America|Dover|male|https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Frank_A._Moore_1910.jpg/137px-Frank_A._Moore_1910.jpg|lawyer, politician, judge
Frank Moore|Rebellion Record: a Diary of American Events: Documents and Narratives, Volume 1.|1862|http://www.wikidata.org/entity/Q5488508|12/9/1877|20/5/1964|American politician|United States of America|Dover|male|https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Frank_A._Moore_1910.jpg/137px-Frank_A._Moore_1910.jpg|lawyer, politician, judge
