Booknb,Title,Author,Date
240,"Rebellion Record: a Diary of American Events: Documents and Narratives, Volume 6.",Frank Moore,1862
241,"Rebellion Record: a Diary of American Events: Documents and Narratives, Volume 7.",Frank Moore,1862
242,"Rebellion Record: a Diary of American Events: Documents and Narratives, Volume 8.",Frank Moore,1862
243,"Rebellion Record: a Diary of American Events: Documents and Narratives, Volume 9.",Frank Moore,1866
244,"Rebellion Record: a Diary of American Events: Index, Volume 1.",Frank Moore,1862
245,"Rebellion Record: a Diary of American Events: Index, Volume 2.",Frank Moore,1862
246,"Rebellion Record: a Diary of American Events: Index, Volume 3.",Frank Moore,1862
247,"Rebellion Record: a Diary of American Events: Poetry and Incidents., Volume 1.",Frank Moore,1862
248,"Rebellion Record: a Diary of American Events: Poetry and Incidents., Volume 2.",Frank Moore,1862
249,"Rebellion Record: a Diary of American Events: Poetry and Incidents., Volume 3.",Frank Moore,1862
25,"The story of the First Massachusetts Light Battery, attached to the Sixth Army Corps: glance at events in the armies of the Potomac and Shenandoah, from the summer of 1861 to the autumn of 1864.","A. J. Bennett, private, First Massachusetts Light Battery",1886
250,"Rebellion Record: a Diary of American Events: Poetry and Incidents., Volume 4.",Frank Moore,1862
251,"Rebellion Record: a Diary of American Events: Poetry and Incidents., Volume 5.",Frank Moore,1862
252,"Rebellion Record: a Diary of American Events: Poetry and Incidents., Volume 6.",Frank Moore,1862
253,"Rebellion Record: a Diary of American Events: Poetry and Incidents., Volume 7.",Frank Moore,1862
254,"Rebellion Record: a Diary of American Events: Poetry and Incidents., Volume 8.",Frank Moore,1862
256,"Rebellion Record: Introduction., Volume 1.",Frank Moore,1862
257,The Public Life of Captain John Brown,James Redpath,1860
258,"The Roving Editor: or, Talks with Slaves in the Southern States.",James Redpath,1859
259,"Julia Ward Howe, 1819-1910, in two volumes, with portraits and other illustrations: volume 1",Laura E. Richards; Maud Howe; Florence Howe Hall,1916
26,A narrative of the great revival which prevailed in the Southern armies during the late Civil War,William W. Bennett,1877
260,"Confederate Military History, a library of Confederate States Military History: Volume 11.1, Texas",Col. O. M. Roberts,1899
261,"Confederate Military History, a library of Confederate States Military History: Volume 12.1, Alabama",Col. O. M. Roberts,1899
262,"The military operations of General Beauregard in the war between the states, 1861 to 1865",Alfred Roman,1883
263,"The military operations of General Beauregard in the war between the states, 1861 to 1865",Alfred Roman,1883
264,"A Roster of General Officers, Heads of Departments, Senators, Representatives, Military Organizations, &c., &c., in Confederate Service during the War between the States.","Charles C. Jones, Jr. Late Lieut. Colonel of Artillery, C. S. A.",1876
266,"Boston events: a brief mention and the date of more than 5,000 events that transpired in Boston from 1630 to 1880, covering a period of 250 years, together with other occurrences of interest, arranged in alphabetical order, Police Recollections; Or Boston by Daylight and Gas-Light.","Edward H. Savage, author of Police Recollections; Or Boston by Daylight and Gas-Light.",1884
267,The Art of War written expressly for and dedicated to the U.S. Volunteer Army.,"Emil Schalk, A. O.",1862
268,Forty-six years in the Army,John M. Schofield,1897
269,A history of Massachusetts in the Civil War: Volume 1,William Schouler,1868
27,History of the 121st New York State Infantry,Isaac O. Best,1921
270,A history of Massachusetts in the Civil War: Volume 2,William Schouler,1871
271,Memoirs of Service Afloat During the War Between the States,Raphael Semmes,1868
272,"Personal Memoirs of P. H. Sheridan, General, United States Army.",Philip Henry Sheridan,1888
273,Memoirs of General William T. Sherman. ,William Tecumseh Sherman,1875
274,Lectures on the Philosophy and Practice of Slavery as exhibited in the Institution of Domestic Slavery in the United States: withe Duties of Masters to Slaves.,"William A. Smith, DD. President of Randolph-Macon College, and Professor of Moral and Intellectual Philosophy.",1857
275,"The Soldiers' Monument in Cambridge: Proceedings in relation to the building and dedication of the monument erected in the years, 1869-1870. ",-,1870
276,"Confederate Military History, a library of Confederate States Military History: Volume 7.1, The blockade and the cruisers","James Russell Soley, Professor U. S. Navy",1899
277,"Southern Historical Society Papers, Volume 1.",Reverend J. William Jones,1876
278,"Southern Historical Society Papers, Volume 10.",Reverend J. William Jones,1882
279,"Southern Historical Society Papers, Volume 11.",Reverend J. William Jones,1883
28,Hardtack and Coffee: The Unwritten Story of Army Life,John D. Billings,1888
280,"Southern Historical Society Papers, Volume 12.",Reverend J. William Jones,1884
281,"Southern Historical Society Papers, Volume 13.",Reverend J. William Jones,1885
282,"Southern Historical Society Papers, Volume 14.",Reverend J. William Jones,1886
283,"Southern Historical Society Papers, Volume 15.",Reverend J. William Jones,1887
284,"Southern Historical Society Papers, Volume 16.",Reverend J. William Jones,1888
285,"Southern Historical Society Papers, Volume 17.",Reverend J. William Jones,1889
286,"Southern Historical Society Papers, Volume 18.",Reverend J. William Jones,1890
287,"Southern Historical Society Papers, Volume 19.",Reverend J. William Jones,1891
288,"Southern Historical Society Papers, Volume 2.",Reverend J. William Jones,1876
289,"Southern Historical Society Papers, Volume 20.",Reverend J. William Jones,1892
29,The history of the Tenth Massachusetts battery of light artillery in the war of the rebellion,John D. Billings,1909
290,"Southern Historical Society Papers, Volume 21.",Reverend J. William Jones,1893
291,"Southern Historical Society Papers, Volume 22.",Reverend J. William Jones,1894
292,"Southern Historical Society Papers, Volume 23.",Reverend J. William Jones,1895
293,"Southern Historical Society Papers, Volume 24.",Reverend J. William Jones,1896
294,"Southern Historical Society Papers, Volume 25.",Reverend J. William Jones,1897
295,"Southern Historical Society Papers, Volume 26.",Reverend J. William Jones,1898
296,"Southern Historical Society Papers, Volume 27.",Reverend J. William Jones,1899
297,"Southern Historical Society Papers, Volume 28.",Reverend J. William Jones,1900
298,"Southern Historical Society Papers, Volume 29.",Reverend J. William Jones,1901
3,Military memoirs of a Confederate: a critical narrative,Edward Porter Alexander,1907
30,Memoirs of the Confederate War for Independence,Heros von Borcke,1866
301,"Southern Historical Society Papers, Volume 31.",Reverend J. William Jones,1903
303,"Southern Historical Society Papers, Volume 33.",Reverend J. William Jones,1905
304,"Southern Historical Society Papers, Volume 34.",Reverend J. William Jones,1906
306,"Southern Historical Society Papers, Volume 36.",Reverend J. William Jones,1908
307,"Southern Historical Society Papers, Volume 37.",Reverend J. William Jones,1909
308,"Southern Historical Society Papers, Volume 4.",Reverend J. William Jones,1877
309,"Southern Historical Society Papers, Volume 5.",Reverend J. William Jones,1878
31,Sherman's Historical Raid,William Boynton,1875
310,"Southern Historical Society Papers, Volume 6.",Reverend J. William Jones,1878
311,"Southern Historical Society Papers, Volume 7.",Reverend J. William Jones,1878
312,"Southern Historical Society Papers, Volume 8.",Reverend J. William Jones,1880
313,"Southern Historical Society Papers, Volume 9.",Reverend J. William Jones,1881
314,The Autobiography of Sir Henry Morton Stanley,Henry Morton Stanley; Dorothy Stanley,1909
317,Harriet Beecher Stowe compiled from her letters and journals by her son Charles Edward Stowe,Charles E. Stowe,1889
318,Campaigns of the Army of the Potomac,William Swinton,1866
319,"Life, letters and journals of George Ticknor",George Ticknor,1876
32,Memoirs of the Rebellion on the Border 1863.,Wiley Britton,1882
320,"Life, letters and journals of George Ticknor",George Ticknor,1876
321,Lives of the eminent Unitarians,"the Rev. W. Turner, Jun., MA.",1840
322,"History of the Nineteenth regiment, Massachusetts volunteer infantry, 1861-1865","Waitt, Ernest Linden",1906
323,"History of the Second Massachusetts Battery of Light Artillery (Nims' Battery): 1861-1865, compiled from records of the Rebellion, official reports, diaries and rosters",Caroline E. Whitcomb,1912
324,"Confederate Military History, a library of Confederate States Military History: Volume 2.2, West Virginia",Col. Robert White,1899
325,The life of Charles Henry Dana,John Harrison Wilson,1907
326,Ulysses S. Grant,Owen Wister,1901
327,"The writings of John Greenleaf Whittier, Volume 1.",John Greenleaf Whittier,1888
328,"The writings of John Greenleaf Whittier, Volume 2.",John Greenleaf Whittier,1888
33,"The camp, the battlefield, and the hospital: or, lights and shadows of the great rebellion",L. P. Brockett,1866
330,"The writings of John Greenleaf Whittier, Volume 4.",John Greenleaf Whittier,1888
331,"The writings of John Greenleaf Whittier, Volume 5.",John Greenleaf Whittier,1888
332,"The writings of John Greenleaf Whittier, Volume 6.",John Greenleaf Whittier,1888
333,"The writings of John Greenleaf Whittier, Volume 7.",John Greenleaf Whittier,1888
34,"Women's work in the civil war: a record of heroism, patriotism and patience",L. P. Brockett,1867
35,Buchanan's administration on the eve of the rebellion,James Buchanan,1866
36,Butler's Book: Autobiography and Personal Reminiscences of Major-General Benjamin Butler,Benjamnin F. Butler,1892
38,"Cambridge History of American Literature: volume 1, Colonial and Revolutionary Literature: Early National Literature: Part I","Trent, William Peterfield, 1862-1939.; Erskine, John, 1879-1951.; Sherman, Stuart Pratt, 1881-1926.; Van Doren, Carl, 1885-1950.",1921
39,Cambridge History of American Literature: volume 2,"Trent, William Peterfield, 1862-1939.; Erskine, John, 1879-1951.; Sherman, Stuart Pratt, 1881-1926.; Van Doren, Carl, 1885-1950.",1921
4,"Confederate Military History, a library of Confederate States Military History: Volume 7.2, The Atlantic Coast",Daniel Ammen,1899
40,Cambridge History of American Literature: volume 3,"Trent, William Peterfield, 1862-1939.; Erskine, John, 1879-1951.; Sherman, Stuart Pratt, 1881-1926.; Van Doren, Carl, 1885-1950.",1921
41,The Cambridge of eighteen hundred and ninety-six: a picture of the city and its industries fifty years after its incorporation,Arthur Gilman,1896
42,Cambridge sketches,Estelle M. H. Merrill,1896
44,Six Months at the White House,Francis B. Carpenter,1866
45,The Passing of the Armies: The Last Campaign of the Armies.,Joshua Lawrence Chamberlain,1915
46,William Lloyd Garrison,John Jay Chapman,1921
47,Isaac T. Hopper: a true life,Lydia Maria Child,1854
48,Letters of Lydia Maria Child,Lydia Maria Child,1884
49,"Battlefields of the South from Bull Run to Fredericksburgh; with sketches of Confederate commanders, and gossip of the camps.","An English Combatant, Lieutenant of Artillery of the Field Staff.",1864
5,"The war-time journal of a Georgia girl, 1864-1865",Eliza Frances Andrews,1908
50,Tribune Essays: Leading Articles Contributing to the New York Tribune from 1857 to 1863.,Charles Congdon,1869
51,"Wearing of the Gray: Being Personal Portraits, Scenes, and Adventures of War.",John Esten Cooke,1867
53,"Life of Ulysses S. Grant: His Boyhood, Campaigns, and Services, Military and Civil.",William A. Crafts,1868
54,Garrison the non-resistant,Ernest Crosby,1905
55,"Confederate Military History, a library of Confederate States Military History: Volume 1.1, Legal Justification of the South in secession, The South as a factor in the territorial expansion of the United States","Hon. J. L. M. Curry, LL.D.; William Robertson Garrett, A. M., Ph.D.",1899
57,Life and Commands of Lieutenand-General Thomas J. Jackson,Robert Lewis Dabney,1866
58,The Rise and Fall of the Confederate Government,Jefferson Davis,1881
59,The Rise and Fall of the Confederate Government,Jefferson Davis,1881
6,The Annals of the Civil War Written by Leading Participants North and South,Alexander Kelly McClure,1878
60,"Jefferson Davis: Ex-President of the Confederate States of America, A Memoir by his Wife, Volume 1",Varina Davis,1890
61,"Jefferson Davis: Ex-President of the Confederate States of America, A Memoir by his Wife, Volume 2",Varina Davis,1890
62,"Four years in Rebel capitals: an inside view of life in the southern confederacy, from birth to death.",Thomas C. DeLeon,1890
64,"Confederate Military History, a library of Confederate States Military History: Volume 11.2, Florida",Col. J. J. Dickison,1899
65,"Confederate Military History, a library of Confederate States Military History: Volume 10.1, Louisiana","John Dimitry, A. M.",1899
66,White Conquest: Volume 1,William Hepworth Dixon,1875
67,White Conquest: Volume 2,William Hepworth Dixon,1875
7,Civilization in the United States: First and Last Impressions of America.,Matthew Arnold,1888
71,"Lieutenant General Jubal A. Early, C. S. A.",Jubal Anderson Early; Ruth Hairston Early,1912
72,"History of the Fifty-Fourth Regiment of Massachusetts Volunteer Infantry, 1863-1865","Emilio, Luis F.",1894
75,Three Months in the Southern States,Lt.-Colonel Arthur J. Fremantle,1864
76,Memoirs of Margaret Fuller Ossoli,Margaret Fuller,1852
77,"William Lloyd Garrison, 1805-1879; the story of his life told by his children: volume 1",Francis Jackson Garrison,1889
78,"William Lloyd Garrison, 1805-1879; the story of his life told by his children: volume 2",Francis Jackson Garrison,1889
79,"William Lloyd Garrison, 1805-1879; the story of his life told by his children: volume 3",Francis Jackson Garrison,1889
8,"The Atlanta (Georgia) Campaign: May 1 - September 8, 1864., Part I: General Report.",Maj. George B. Davis; Mr. Leslie J. Perry; Mr. Joseph W. Kirkley,1891
80,"William Lloyd Garrison, 1805-1879; the story of his life told by his children: volume 4",Francis Jackson Garrison,1889
81,Beyond the lines: A Yankee prisoner loose in Dixie,John James Geer,1864
83,"George P. Rowell and Company's American Newspaper Directory, containing accurate lists of all the newspapers and periodicals published in the United States and territories, and the dominion of Canada, and British Colonies of North America., together with a description of the towns and cities in which they are published.",George P. Rowell and company,1869
84,From Brook Farm to Cedar Mountain,George H. Gordon,1883
85,Personal Memoirs of U. S. Grant ,Ulysses S. Grant,1885
86,"The American Conflict: A History of the Great Rebellion in the United States of America, 1860-65: its Causes, Incidents, and Results: Intended to exhibit especially its moral and political phases with the drift and progress of American opinion respecting human slavery from 1776 to the close of the War for the Union. Volume I.",Horace Greeley,1866
87,"The American Conflict: A History of the Great Rebellion in the United States of America, 1860-65: its Causes, Incidents, and Results: Intended to exhibit especially its moral and political phases with the drift and progress of American opinion respecting human slavery from 1776 to the close of the War for the Union. Volume II.",Horace Greeley,1866
88,William Lloyd Garrison the Abolitionist,Archibald H. Grimke,1889
89,A blockaded family: Life in southern Alabama during the war,Parthenia Antoinette Hague,1888
9,"Grant in peace: from Appomattox to Mount McGregor, a personal memoir",Adam Badeau,1887
90,"Elements of Military Art and Science; or, Course of Instruction in Strategy, Fortification, Tactis of Battles &c., Embracing the Duties of Staff, Infantry, Cavalry, Artillery and Engineers. Adapted to the Use of Volunteers and Militia.","H. Wager Halleck, A. M., Lieut. of Engineers, U. S. Army.",1846
91,Harper's Encyclopedia of United States History,Benson Lossing,1902
92,"Confederate Military History, a library of Confederate States Military History: Volume 10.2, Arkansas",Col. John M. Harrell,1899
93,"Herndon's Lincoln: The True Story of a Great Life, Etiam in minimis major, The History and Personal Recollections of Abraham Lincoln by William H. Herndon, for twenty years his friend and Jesse William Weik",William H. Herndon; Jesse William Weik,1888
94,Thomas Wentworth Higginson: the story of his life,Mary Thacher Higginson,1914
96,Army Life in a Black Regiment,Thomas Wentworth Higginson,1870
97,Atlantic Essays,Thomas Wentworth Higginson,1874
98,Book and heart: essays on literature and life,Thomas Wentworth Higginson,1897
99,A book of American explorers,Thomas Wentworth Higginson,1877
